state,district_clean,month,pincode_x,age_0_5,age_5_17,age_18_greater,child_0_5,child_5_17,adult_18_plus,enrol_total,pincode_y,demo_age_5_17,demo_age_17_,demo_updates,pincode,bio_age_5_17,bio_age_17_,bio_updates,update_pressure,risk_flag,next_month_enrol_prediction,action
GUJARAT,AHMADABAD,01-01-2,6472278.0,16.0,7.0,0.0,16.0,7.0,0.0,23.0,17141296.0,0.0,150.0,0.0,17149457.0,10.0,183.0,0.0,0.0,False,23.0,Normal
GUJARAT,AHMADABAD,01-06-2,1907233.0,685.0,480.0,60.0,685.0,480.0,60.0,1225.0,,,,,4951982.0,67.0,830.0,0.0,0.0,False,1225.0,Normal
GUJARAT,AHMADABAD,01-07-2,4958394.0,2714.0,1590.0,180.0,2714.0,1590.0,180.0,4484.0,,,,,11810969.0,8.0,128.0,0.0,0.0,False,4484.0,Normal
GUJARAT,AHMADABAD,01-09-2,4565029.0,15.0,4.0,0.0,15.0,4.0,0.0,19.0,11432232.0,1.0,107.0,0.0,23254049.0,12.0,195.0,0.0,0.0,False,19.0,Normal
GUJARAT,AHMADABAD,01-11-2,1520132.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,13339547.0,2.0,71.0,0.0,12200688.0,2.0,87.0,0.0,0.0,False,5.0,Normal
GUJARAT,AHMADABAD,02-01-2,5344513.0,20.0,5.0,0.0,20.0,5.0,0.0,25.0,13717947.0,2.0,71.0,0.0,11044369.0,5.0,85.0,0.0,0.0,False,25.0,Normal
GUJARAT,AHMADABAD,02-09-2,4187506.0,10.0,3.0,0.0,10.0,3.0,0.0,13.0,13341918.0,2.0,117.0,0.0,22101563.0,7.0,164.0,0.0,0.0,False,13.0,Normal
GUJARAT,AHMADABAD,02-11-2,6852429.0,19.0,3.0,0.0,19.0,3.0,0.0,22.0,6487080.0,2.0,17.0,0.0,10663974.0,1.0,58.0,0.0,0.0,False,22.0,Normal
GUJARAT,AHMADABAD,03-01-2,380001.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9150421.0,0.0,27.0,0.0,4567542.0,1.0,14.0,0.0,0.0,False,1.0,Normal
GUJARAT,AHMADABAD,03-09-2,5329857.0,8.0,10.0,0.0,8.0,10.0,0.0,18.0,12952084.0,6.0,99.0,0.0,18280469.0,7.0,162.0,0.0,0.0,False,18.0,Normal
GUJARAT,AHMADABAD,03-11-2,1904778.0,3.0,2.0,0.0,3.0,2.0,0.0,5.0,11809285.0,2.0,103.0,0.0,17149241.0,5.0,121.0,0.0,0.0,False,5.0,Normal
GUJARAT,AHMADABAD,04-09-2,5325156.0,15.0,3.0,0.0,15.0,3.0,0.0,18.0,11427762.0,14.0,91.0,0.0,14097938.0,9.0,109.0,0.0,0.0,False,18.0,Normal
GUJARAT,AHMADABAD,05-09-2,380016.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3427336.0,1.0,9.0,0.0,6101767.0,0.0,16.0,0.0,0.0,False,1.0,Normal
GUJARAT,AHMADABAD,05-11-2,4572093.0,12.0,4.0,0.0,12.0,4.0,0.0,16.0,9142102.0,1.0,38.0,0.0,11812635.0,1.0,53.0,0.0,0.0,False,16.0,Normal
GUJARAT,AHMADABAD,06-09-2,4187341.0,13.0,5.0,0.0,13.0,5.0,0.0,18.0,12574707.0,6.0,74.0,0.0,14469465.0,7.0,98.0,0.0,0.0,False,18.0,Normal
GUJARAT,AHMADABAD,06-11-2,1902421.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,19056963.0,2.0,151.0,0.0,8001690.0,3.0,61.0,0.0,0.0,False,5.0,Normal
GUJARAT,AHMADABAD,07-11-2,3431716.0,4.0,5.0,0.0,4.0,5.0,0.0,9.0,10285328.0,1.0,84.0,0.0,10286722.0,4.0,77.0,0.0,0.0,False,9.0,Normal
GUJARAT,AHMADABAD,08-09-2,6469845.0,18.0,8.0,0.0,18.0,8.0,0.0,26.0,11817103.0,13.0,72.0,0.0,13339832.0,5.0,91.0,0.0,0.0,False,26.0,Normal
GUJARAT,AHMADABAD,08-11-2,4952004.0,16.0,4.0,0.0,16.0,4.0,0.0,20.0,6097161.0,0.0,30.0,0.0,16389313.0,6.0,117.0,0.0,0.0,False,20.0,Normal
GUJARAT,AHMADABAD,09-06-2,6480155.0,9.0,14.0,0.0,9.0,14.0,0.0,23.0,,,,,18283764.0,17.0,179.0,0.0,0.0,False,23.0,Normal
GUJARAT,AHMADABAD,09-09-2,6094655.0,14.0,7.0,0.0,14.0,7.0,0.0,21.0,10647934.0,10.0,103.0,0.0,14854639.0,15.0,123.0,0.0,0.0,False,21.0,Normal
GUJARAT,AHMADABAD,09-11-2,3429647.0,10.0,1.0,0.0,10.0,1.0,0.0,11.0,4189776.0,0.0,17.0,0.0,4573040.0,1.0,14.0,0.0,0.0,False,11.0,Normal
GUJARAT,AHMADABAD,10-06-2,6477062.0,12.0,16.0,0.0,12.0,16.0,0.0,28.0,,,,,19836447.0,8.0,177.0,0.0,0.0,False,28.0,Normal
GUJARAT,AHMADABAD,10-09-2,6089756.0,18.0,4.0,0.0,18.0,4.0,0.0,22.0,9536774.0,9.0,74.0,0.0,11053206.0,11.0,53.0,0.0,0.0,False,22.0,Normal
GUJARAT,AHMADABAD,10-11-2,3809943.0,10.0,1.0,0.0,10.0,1.0,0.0,11.0,8009453.0,1.0,68.0,0.0,14099750.0,4.0,110.0,0.0,0.0,False,11.0,Normal
GUJARAT,AHMADABAD,11-06-2,6864774.0,13.0,19.0,0.0,13.0,19.0,0.0,32.0,,,,,18301018.0,13.0,208.0,0.0,0.0,False,32.0,Normal
GUJARAT,AHMADABAD,11-09-2,6097033.0,9.0,11.0,0.0,9.0,11.0,0.0,20.0,9906577.0,13.0,72.0,0.0,14467226.0,8.0,107.0,0.0,0.0,False,20.0,Normal
GUJARAT,AHMADABAD,11-11-2,3812638.0,11.0,3.0,0.0,11.0,3.0,0.0,14.0,7624815.0,1.0,63.0,0.0,16001182.0,3.0,118.0,0.0,0.0,False,14.0,Normal
GUJARAT,AHMADABAD,12-06-2,5709899.0,6.0,15.0,0.0,6.0,15.0,0.0,21.0,,,,,13327242.0,4.0,194.0,0.0,0.0,False,21.0,Normal
GUJARAT,AHMADABAD,12-09-2,5329633.0,13.0,9.0,0.0,13.0,9.0,0.0,22.0,10289972.0,4.0,74.0,0.0,19426518.0,14.0,163.0,0.0,0.0,False,22.0,Normal
GUJARAT,AHMADABAD,12-11-2,6094288.0,13.0,9.0,0.0,13.0,9.0,0.0,22.0,6097423.0,0.0,32.0,0.0,17534395.0,3.0,170.0,0.0,0.0,False,22.0,Normal
GUJARAT,AHMADABAD,13-06-2,4949883.0,11.0,3.0,0.0,11.0,3.0,0.0,14.0,,,,,16381432.0,8.0,184.0,0.0,0.0,False,14.0,Normal
GUJARAT,AHMADABAD,13-09-2,2662514.0,8.0,2.0,0.0,8.0,2.0,0.0,10.0,12206704.0,11.0,66.0,0.0,23643818.0,22.0,189.0,0.0,0.0,False,10.0,Normal
GUJARAT,AHMADABAD,13-10-2,4184988.0,12.0,6.0,0.0,12.0,6.0,0.0,18.0,9157199.0,0.0,38.0,0.0,8018761.0,0.0,43.0,0.0,0.0,False,18.0,Normal
GUJARAT,AHMADABAD,13-11-2,4189949.0,12.0,2.0,0.0,12.0,2.0,0.0,14.0,10291341.0,1.0,99.0,0.0,10305014.0,6.0,58.0,0.0,0.0,False,14.0,Normal
GUJARAT,AHMADABAD,14-06-2,4952313.0,10.0,7.0,0.0,10.0,7.0,0.0,17.0,,,,,19816407.0,6.0,179.0,0.0,0.0,False,17.0,Normal
GUJARAT,AHMADABAD,14-09-2,762456.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,3420317.0,1.0,9.0,0.0,5707431.0,2.0,16.0,0.0,0.0,False,2.0,Normal
GUJARAT,AHMADABAD,14-11-2,4189914.0,8.0,4.0,0.0,8.0,4.0,0.0,12.0,10290025.0,1.0,92.0,0.0,17149290.0,9.0,131.0,0.0,0.0,False,12.0,Normal
GUJARAT,AHMADABAD,15-06-2,1524774.0,3.0,2.0,0.0,3.0,2.0,0.0,5.0,,,,,3817062.0,2.0,10.0,0.0,0.0,False,5.0,Normal
GUJARAT,AHMADABAD,15-09-2,2284820.0,7.0,4.0,0.0,7.0,4.0,0.0,11.0,11422365.0,11.0,106.0,0.0,19041398.0,12.0,144.0,0.0,0.0,False,11.0,Normal
GUJARAT,AHMADABAD,15-10-2,4581982.0,10.0,7.0,0.0,10.0,7.0,0.0,17.0,13332634.0,8.0,67.0,0.0,14476666.0,2.0,73.0,0.0,0.0,False,17.0,Normal
GUJARAT,AHMADABAD,15-11-2,6094551.0,20.0,6.0,0.0,20.0,6.0,0.0,26.0,15968586.0,0.0,103.0,0.0,15222445.0,9.0,121.0,0.0,0.0,False,26.0,Normal
GUJARAT,AHMADABAD,15-12-2,5337058.0,20.0,2.0,0.0,20.0,2.0,0.0,22.0,17143931.0,1.0,137.0,0.0,18283582.0,16.0,168.0,0.0,0.0,False,22.0,Normal
GUJARAT,AHMADABAD,16-06-2,6469727.0,12.0,10.0,0.0,12.0,10.0,0.0,22.0,,,,,22848846.0,11.0,209.0,0.0,0.0,False,22.0,Normal
GUJARAT,AHMADABAD,16-09-2,4560355.0,8.0,9.0,0.0,8.0,9.0,0.0,17.0,12189288.0,8.0,87.0,0.0,19427276.0,9.0,158.0,0.0,0.0,False,17.0,Normal
GUJARAT,AHMADABAD,16-10-2,3435048.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,12569704.0,11.0,89.0,0.0,16008745.0,7.0,72.0,0.0,0.0,False,10.0,Normal
GUJARAT,AHMADABAD,16-11-2,7232283.0,25.0,4.0,0.0,25.0,4.0,0.0,29.0,8382017.0,2.0,41.0,0.0,7623047.0,1.0,25.0,0.0,0.0,False,29.0,Normal
GUJARAT,AHMADABAD,17-06-2,4952983.0,8.0,7.0,0.0,8.0,7.0,0.0,15.0,,,,,14484057.0,7.0,132.0,0.0,0.0,False,15.0,Normal
